timestamp,engine_rpm,vehicle_speed,throttle_position,acceleration,engine_load,fuel_injection_rate,coolant_temperature,mass_air_flow
2026-03-22T08:03:14.959137,785.82,0.0,0.0,0.0,19.53,1.002,75.0,1.429
2026-03-22T08:03:15.253413,771.72,0.0,0.0,0.0,18.86,1.538,75.0,1.403
2026-03-22T08:03:15.757740,759.43,0.0,0.0,0.0,17.85,2.057,75.0,1.381
2026-03-22T08:03:16.253410,754.1,0.0,0.0,0.0,16.96,2.311,75.0,1.371
2026-03-22T08:03:16.756946,751.78,0.0,0.0,0.0,16.17,2.43,75.0,1.367
2026-03-22T08:03:17.254827,750.77,0.0,0.0,0.0,15.47,2.479,75.0,1.365
2026-03-22T08:03:17.755945,750.34,0.0,0.0,0.0,14.85,2.493,75.0,1.364
2026-03-22T08:03:18.255490,750.15,0.0,0.0,0.0,14.3,2.49,75.0,1.364
2026-03-22T08:03:18.756080,750.06,0.0,0.0,0.0,13.81,2.48,75.0,1.364
2026-03-22T08:03:19.257008,750.03,0.0,0.0,0.0,13.37,2.466,75.0,1.364
2026-03-22T08:03:19.754203,750.01,0.0,0.0,0.0,12.99,2.451,75.0,1.364
2026-03-22T08:03:20.254055,750.01,0.0,0.0,0.0,12.65,2.437,75.0,1.364
2026-03-22T08:03:20.754793,750.0,0.0,0.0,0.0,12.35,2.424,75.0,1.364
2026-03-22T08:03:21.253374,750.0,0.0,0.0,0.0,12.08,2.412,75.0,1.364
2026-03-22T08:03:21.764165,750.0,0.0,0.0,0.0,11.82,2.4,75.0,1.364
2026-03-22T08:03:25.654104,782.95,0.0,0.0,0.0,19.41,1.107,75.0,1.424
2026-03-22T08:03:25.953363,769.98,0.0,0.0,0.0,18.76,1.607,75.0,1.4
2026-03-22T08:03:26.461239,758.68,0.0,0.0,0.0,17.76,2.092,75.0,1.379
2026-03-22T08:03:26.950931,753.77,0.0,0.0,0.0,16.88,2.328,75.0,1.37
2026-03-22T08:03:27.452085,751.64,0.0,0.0,0.0,16.1,2.437,75.0,1.367
2026-03-22T08:03:27.952541,750.71,0.0,0.0,0.0,15.4,2.481,75.0,1.365
2026-03-22T08:03:28.453051,750.31,0.0,0.0,0.0,14.79,2.493,75.0,1.364
2026-03-22T08:03:28.952503,750.13,0.0,0.0,0.0,14.24,2.489,75.0,1.364
2026-03-22T08:03:29.451985,750.06,0.0,0.0,0.0,13.76,2.478,75.0,1.364
2026-03-22T08:03:29.952635,750.03,0.0,0.0,0.0,13.33,2.464,75.0,1.364
2026-03-22T08:03:30.455040,750.01,0.0,0.0,0.0,12.95,2.45,75.0,1.364
2026-03-22T08:03:30.954494,750.0,0.0,0.0,0.0,12.62,2.436,75.0,1.364
2026-03-22T08:03:31.453690,750.0,0.0,0.0,0.0,12.32,2.423,75.0,1.364
2026-03-22T08:03:31.956173,750.0,0.0,0.0,0.0,12.06,2.411,75.0,1.364
2026-03-22T08:03:32.451985,750.0,0.0,0.0,0.0,11.82,2.4,75.0,1.364
2026-03-22T08:03:32.951057,750.0,0.0,0.0,0.0,11.62,2.391,75.0,1.364
2026-03-22T08:03:33.452410,750.0,0.0,0.0,0.0,11.43,2.382,75.0,1.364
2026-03-22T08:03:33.952581,750.0,0.0,0.0,0.0,11.27,2.375,75.0,1.364
2026-03-22T08:03:34.458604,750.0,0.0,0.0,0.0,11.11,2.367,75.0,1.364
2026-03-22T08:03:34.954633,776.39,0.0,0.0,0.0,11.0,2.381,75.0,1.412
2026-03-22T08:03:35.454076,789.74,0.0,0.0,0.0,10.88,2.409,75.0,1.436
2026-03-22T08:03:35.951201,795.55,0.0,0.0,0.0,10.78,2.432,75.0,1.446
2026-03-22T08:03:36.455592,798.06,0.0,0.0,0.0,10.69,2.447,75.0,1.451
2026-03-22T08:03:36.954070,799.16,0.0,0.0,0.0,10.61,2.455,75.0,1.453
2026-03-22T08:03:37.454330,799.63,0.0,0.0,0.0,10.55,2.46,75.0,1.454
2026-03-22T08:03:37.955088,799.84,6.13,20.41,0.469,11.23,2.538,75.0,2.037
2026-03-22T08:03:38.453183,1377.13,36.77,60.76,1.01,15.68,3.283,75.0,4.24
2026-03-22T08:03:38.953467,2500.51,71.43,81.01,0.878,22.54,5.191,75.0,6.861
2026-03-22T08:03:39.453243,3580.16,97.8,90.81,0.613,30.02,7.803,75.0,9.104
2026-03-22T08:03:39.955966,4417.36,115.22,95.55,0.388,37.34,10.516,75.0,10.762
2026-03-22T08:03:40.457379,4998.87,125.9,97.85,0.232,44.16,12.939,75.0,11.884
2026-03-22T08:03:40.956211,5376.07,132.15,98.96,0.134,50.36,14.91,75.0,12.602
2026-03-22T08:03:41.455244,5609.51,135.71,99.5,0.075,55.93,16.421,75.0,13.042
2026-03-22T08:03:41.955578,5749.08,137.68,99.76,0.041,60.91,17.536,75.0,13.303
2026-03-22T08:03:42.456976,5830.36,138.76,99.88,0.022,65.34,18.342,75.0,13.454
2026-03-22T08:03:42.956043,5876.71,139.35,99.94,0.012,69.27,18.919,75.0,13.54
2026-03-22T08:03:43.456672,5902.7,139.66,99.97,0.006,72.76,19.333,75.0,13.589
2026-03-22T08:03:43.958031,5917.06,139.82,99.99,0.003,75.86,19.636,75.0,13.615
2026-03-22T08:03:44.455738,5876.18,138.04,93.16,-0.159,78.38,19.82,75.0,13.346
2026-03-22T08:03:44.955225,5476.34,124.44,69.66,-0.563,78.89,19.515,75.0,11.947
2026-03-22T08:03:45.451578,4565.53,96.89,38.47,-0.9,76.41,18.235,75.0,9.4
2026-03-22T08:03:45.949557,3371.93,65.14,18.62,-0.817,71.54,15.919,75.0,6.663
2026-03-22T08:03:46.450981,2292.37,40.36,9.01,-0.58,65.84,13.097,75.0,4.425
2026-03-22T08:03:46.951149,1492.88,23.81,4.36,-0.37,60.11,10.322,75.0,2.839
2026-03-22T08:03:47.451260,1100.98,13.59,2.11,-0.222,54.72,8.048,75.0,2.062
2026-03-22T08:03:47.973433,930.74,7.58,1.02,-0.129,49.78,6.429,75.0,1.721
2026-03-22T08:03:48.500317,856.79,4.15,0.49,-0.072,45.33,5.343,75.0,1.572
2026-03-22T08:03:48.955637,824.67,2.24,0.24,-0.04,41.34,4.627,75.0,1.506
2026-03-22T08:03:49.453534,810.72,1.2,0.12,-0.022,37.8,4.151,75.0,1.477
2026-03-22T08:03:49.957230,804.66,0.64,0.06,-0.012,34.64,3.826,75.0,1.465
2026-03-22T08:03:50.453806,802.02,0.33,0.03,-0.006,31.84,3.594,75.0,1.459
2026-03-22T08:03:50.981322,800.88,0.17,0.01,-0.003,29.36,3.422,75.0,1.457
2026-03-22T08:03:51.454213,800.38,0.09,0.01,-0.002,27.16,3.287,75.0,1.455
2026-03-22T08:03:51.963275,800.18,0.05,0.0,-0.001,25.39,3.188,75.0,1.455
2026-03-22T08:03:52.956045,800.18,0.05,0.0,-0.001,25.39,3.188,75.0,1.455
2026-03-22T08:03:53.621330,800.18,0.05,0.0,-0.001,25.39,3.188,75.0,1.455
2026-03-22T08:03:53.955017,800.09,0.03,0.0,-0.001,23.98,3.113,75.0,1.455
2026-03-22T08:03:54.457238,800.04,0.02,0.0,0.0,22.39,3.033,75.0,1.455
2026-03-22T08:03:54.953236,800.02,0.01,0.0,0.0,20.98,2.963,75.0,1.455
2026-03-22T08:03:55.453529,800.01,0.0,0.0,0.0,19.73,2.903,75.0,1.455
2026-03-22T08:03:55.952245,800.0,0.0,0.0,0.0,18.62,2.85,75.0,1.455
2026-03-22T08:03:56.451591,800.0,0.0,0.0,0.0,17.64,2.803,75.0,1.455
2026-03-22T08:03:56.951595,800.0,0.0,0.0,0.0,16.77,2.762,75.0,1.455
2026-03-22T08:03:57.453443,800.0,0.0,0.0,0.0,16.0,2.726,75.0,1.455
2026-03-22T08:03:57.951105,800.0,0.0,0.0,0.0,15.32,2.694,75.0,1.455
2026-03-22T08:03:58.455141,800.0,2.76,13.14,0.19,15.25,2.72,75.0,1.83
2026-03-22T08:03:58.952745,867.13,16.07,45.3,0.516,17.73,3.001,75.0,2.871
2026-03-22T08:03:59.452557,1413.13,37.54,73.53,0.599,23.28,3.931,75.0,4.67
2026-03-22T08:03:59.951170,2105.47,56.54,87.19,0.458,30.16,5.5,75.0,6.319
2026-03-22T08:04:00.453758,2639.1,67.69,83.29,0.152,36.78,7.244,75.0,7.178
2026-03-22T08:04:00.952732,2743.31,65.52,60.76,-0.227,41.08,8.479,75.0,6.724
2026-03-22T08:04:01.452081,2375.97,51.54,31.82,-0.479,42.06,8.72,75.0,5.229
2026-03-22T08:04:01.953770,1778.25,34.65,15.4,-0.435,40.63,8.012,75.0,3.673
2026-03-22T08:04:02.458010,1250.78,21.46,7.45,-0.309,38.22,6.808,75.0,2.487
2026-03-22T08:04:02.953235,995.81,15.42,16.75,-0.007,36.06,5.693,75.0,2.289
2026-03-22T08:04:03.454470,1038.32,23.3,47.05,0.398,36.43,5.158,75.0,3.232
2026-03-22T08:04:03.959456,1565.94,41.57,74.37,0.53,39.97,5.606,75.0,4.972
2026-03-22T08:04:04.458345,2214.35,58.75,87.6,0.42,45.01,6.831,75.0,6.529
2026-03-22T08:04:04.962127,2769.92,71.09,94.0,0.282,50.4,8.376,75.0,7.722
2026-03-22T08:04:05.450683,3178.19,79.02,97.09,0.175,55.62,9.896,75.0,8.553
2026-03-22T08:04:05.950946,3452.97,83.8,98.59,0.103,60.47,11.207,75.0,9.095
2026-03-22T08:04:06.453124,3627.53,86.57,99.32,0.059,64.87,12.255,75.0,9.433
2026-03-22T08:04:06.952158,3733.97,88.13,99.67,0.033,68.81,13.052,75.0,9.637
2026-03-22T08:04:07.464596,3796.91,89.0,99.84,0.018,72.34,13.642,75.0,9.756
2026-03-22T08:04:07.950887,3833.24,89.47,99.92,0.01,75.47,14.073,75.0,9.824
2026-03-22T08:04:08.463605,3853.82,89.72,99.96,0.005,78.26,14.388,75.0,9.863
2026-03-22T08:04:08.964214,3865.3,89.85,99.98,0.003,80.73,14.621,75.0,9.884
2026-03-22T08:04:09.455446,3871.61,89.92,99.99,0.001,82.92,14.796,75.0,9.896
2026-03-22T08:04:09.953267,3875.05,89.96,100.0,0.001,84.86,14.932,75.0,9.903
2026-03-22T08:04:10.452790,3862.86,89.44,96.17,-0.06,86.48,15.025,75.0,9.771
2026-03-22T08:04:10.953411,3676.96,83.24,81.12,-0.214,86.67,14.854,75.0,9.003
2026-03-22T08:04:11.452946,3361.33,74.3,65.9,-0.313,85.53,14.32,75.0,7.994
2026-03-22T08:04:11.954333,2816.64,58.97,38.17,-0.515,82.16,13.255,75.0,6.212
2026-03-22T08:04:12.450686,2094.27,40.18,18.48,-0.492,76.61,11.584,75.0,4.336
2026-03-22T08:04:12.952089,1436.47,25.08,8.94,-0.356,70.32,9.631,75.0,2.867
2026-03-22T08:04:13.447202,1076.47,14.87,4.33,-0.229,64.09,7.831,75.0,2.081
2026-03-22T08:04:13.951844,920.1,11.27,15.24,0.051,58.77,6.516,75.0,2.108
2026-03-22T08:04:14.453169,969.6,20.83,46.32,0.436,56.45,5.883,75.0,3.086
2026-03-22T08:04:14.949392,1507.98,40.16,74.02,0.553,57.66,6.243,75.0,4.857
2026-03-22T08:04:15.452837,2173.67,57.95,87.43,0.433,60.67,7.403,75.0,6.45
2026-03-22T08:04:15.951144,2743.83,70.66,93.91,0.29,64.26,8.901,75.0,7.672
2026-03-22T08:04:16.451518,3162.33,78.78,97.05,0.179,67.9,10.381,75.0,8.523
2026-03-22T08:04:16.951708,3443.67,83.67,98.57,0.105,71.35,11.655,75.0,9.078
2026-03-22T08:04:17.451060,3622.22,86.5,99.31,0.06,74.51,12.665,75.0,9.423
2026-03-22T08:04:17.961900,3731.0,88.1,99.67,0.034,77.36,13.426,75.0,9.631
2026-03-22T08:04:18.458811,3795.27,88.98,99.84,0.018,79.91,13.98,75.0,9.753
2026-03-22T08:04:18.953609,3832.35,89.46,99.92,0.01,82.18,14.377,75.0,9.823
2026-03-22T08:04:19.453180,3853.34,89.71,99.96,0.005,84.2,14.661,75.0,9.862
2026-03-22T08:04:19.954000,3865.04,89.85,99.98,0.003,86.0,14.864,75.0,9.884
2026-03-22T08:04:20.458066,3871.48,89.92,99.99,0.001,87.59,15.013,75.0,9.896
2026-03-22T08:04:20.955714,3874.98,89.96,100.0,0.001,89.0,15.125,75.0,9.902
2026-03-22T08:04:21.458932,3876.86,89.98,100.0,0.0,90.25,15.211,75.0,9.906
2026-03-22T08:04:21.959912,3877.87,89.99,100.0,0.0,91.36,15.279,75.0,9.908
2026-03-22T08:04:22.456534,3878.41,89.99,100.0,0.0,92.34,15.335,75.0,9.909
2026-03-22T08:04:22.961269,3878.69,90.0,100.0,0.0,93.21,15.382,75.0,9.909
2026-03-22T08:04:23.464448,3877.13,89.93,99.18,-0.014,93.97,15.42,75.0,9.883
2026-03-22T08:04:23.953105,3753.41,85.6,82.9,-0.23,93.78,15.299,75.0,9.193
2026-03-22T08:04:24.454758,3187.04,17.58,54.38,-0.14,91.17,14.565,75.0,7.348
2026-03-22T08:04:24.955360,2400.97,12.59,35.31,-0.115,86.07,12.962,75.0,5.374
2026-03-22T08:04:25.452954,1950.85,10.51,50.87,-0.007,81.72,11.303,75.0,5.0
2026-03-22T08:04:25.952770,2012.78,12.0,75.66,0.065,80.3,10.415,75.0,5.821
2026-03-22T08:04:26.454804,2309.83,14.48,88.22,0.066,80.84,10.358,75.0,6.72
2026-03-22T08:04:26.952432,2618.77,16.53,94.3,0.049,82.2,10.793,75.0,7.456
2026-03-22T08:04:27.452786,2863.79,17.93,97.24,0.032,83.83,11.415,75.0,7.985
2026-03-22T08:04:27.953295,3035.34,18.81,98.66,0.019,85.48,12.034,75.0,8.338
2026-03-22T08:04:28.453449,3146.94,19.34,99.35,0.011,87.03,12.564,75.0,8.56
2026-03-22T08:04:28.953198,3216.06,19.63,99.69,0.006,88.46,12.98,75.0,8.696
2026-03-22T08:04:29.452723,3257.37,19.8,99.85,0.004,89.75,13.291,75.0,8.775
2026-03-22T08:04:29.952671,3281.41,19.89,99.93,0.002,90.91,13.516,75.0,8.821
2026-03-22T08:04:30.452413,3295.1,19.94,99.96,0.001,91.94,13.678,75.0,8.847
2026-03-22T08:04:30.953888,3302.78,19.97,99.98,0.001,92.85,13.793,75.0,8.862
2026-03-22T08:04:31.452490,3293.49,19.87,96.16,-0.013,93.57,13.863,75.0,8.736
2026-03-22T08:04:31.952041,3104.77,18.33,75.25,-0.069,92.82,13.656,75.0,7.795
2026-03-22T08:04:32.451577,2622.3,14.76,44.48,-0.123,89.4,12.832,75.0,6.039
2026-03-22T08:04:32.954578,1943.28,10.16,21.53,-0.122,83.47,11.317,75.0,4.148
2026-03-22T08:04:33.453272,1338.68,6.37,10.42,-0.09,76.61,9.471,75.0,2.732
2026-03-22T08:04:33.950950,1034.0,3.79,5.04,-0.058,69.76,7.784,75.0,2.024
2026-03-22T08:04:34.455703,901.65,2.18,2.44,-0.035,63.32,6.502,75.0,1.709
2026-03-22T08:04:34.951471,844.15,1.22,1.18,-0.021,57.42,5.591,75.0,1.569
2026-03-22T08:04:35.450531,819.18,0.67,0.57,-0.012,52.11,4.954,75.0,1.506
2026-03-22T08:04:35.951576,808.33,0.36,0.28,-0.006,47.36,4.501,75.0,1.478
2026-03-22T08:04:36.492160,803.62,0.19,0.13,-0.004,43.13,4.169,75.0,1.465
2026-03-22T10:08:18.145830,785.82,0.0,0.0,0.0,19.53,1.002,75.0,1.429
2026-03-22T10:08:18.446260,771.72,0.0,0.0,0.0,18.86,1.538,75.0,1.403
2026-03-22T10:08:18.946210,759.43,0.0,0.0,0.0,17.85,2.057,75.0,1.381
2026-03-22T10:08:19.446812,754.1,0.0,0.0,0.0,16.96,2.311,75.0,1.371
2026-03-22T10:08:19.946668,751.78,0.0,0.0,0.0,16.17,2.43,75.0,1.367
2026-03-22T10:08:20.445953,750.77,0.0,0.0,0.0,15.47,2.479,75.0,1.365
2026-03-22T10:08:20.946915,750.34,0.0,0.0,0.0,14.85,2.493,75.0,1.364
2026-03-22T10:08:21.446716,750.15,0.0,0.0,0.0,14.3,2.49,75.0,1.364
2026-03-22T10:08:21.946050,750.06,0.0,0.0,0.0,13.81,2.48,75.0,1.364
2026-03-22T10:08:26.321147,782.95,0.0,0.0,0.0,19.41,1.107,75.0,1.424
2026-03-22T10:08:26.620328,769.98,0.0,0.0,0.0,18.76,1.607,75.0,1.4
2026-03-22T10:08:27.120027,758.68,0.0,0.0,0.0,17.76,2.092,75.0,1.379
2026-03-22T10:08:27.623539,753.77,0.0,0.0,0.0,16.88,2.328,75.0,1.37
2026-03-22T10:08:28.120771,751.64,0.0,0.0,0.0,16.1,2.437,75.0,1.367
2026-03-22T10:08:28.623237,750.71,0.0,0.0,0.0,15.4,2.481,75.0,1.365
2026-03-22T10:08:29.119941,750.31,0.0,0.0,0.0,14.79,2.493,75.0,1.364
2026-03-22T10:08:29.624798,750.13,0.0,0.0,0.0,14.24,2.489,75.0,1.364
2026-03-22T10:08:30.120850,750.06,0.0,0.0,0.0,13.76,2.478,75.0,1.364
2026-03-22T10:08:30.622843,750.03,0.0,0.0,0.0,13.33,2.464,75.0,1.364
2026-03-22T10:08:31.126561,750.01,0.0,0.0,0.0,12.95,2.45,75.0,1.364
2026-03-22T10:08:31.620963,750.0,0.0,0.0,0.0,12.62,2.436,75.0,1.364
2026-03-22T10:08:32.123186,754.0,0.0,0.0,0.0,12.32,2.423,75.0,1.371
2026-03-22T10:08:32.626694,780.02,0.0,0.0,0.0,12.06,2.437,75.0,1.418
2026-03-22T10:08:33.124089,791.32,0.08,2.63,0.009,11.89,2.466,75.0,1.514
2026-03-22T10:08:33.625211,796.23,1.14,17.02,0.047,12.69,2.581,75.0,1.934
2026-03-22T10:08:34.128070,798.36,3.6,38.17,0.084,15.3,2.844,75.0,2.542
2026-03-22T10:08:34.621659,971.12,7.2,62.6,0.111,19.98,3.35,75.0,3.554
2026-03-22T10:08:35.121180,1376.62,11.27,81.86,0.107,26.47,4.317,75.0,4.842
2026-03-22T10:08:35.628618,1798.29,14.54,91.22,0.077,33.57,5.581,75.0,5.876
2026-03-22T10:08:36.121585,2136.85,16.76,95.75,0.05,40.51,6.886,75.0,6.621
2026-03-22T10:08:36.621631,2371.05,18.08,95.33,0.021,46.93,8.057,75.0,7.035
2026-03-22T10:08:37.123721,2404.07,17.55,76.91,-0.045,51.56,8.836,75.0,6.568
2026-03-22T10:08:37.620435,2147.25,14.63,47.35,-0.108,53.07,8.913,75.0,5.257
2026-03-22T10:08:38.122085,1664.45,10.29,22.92,-0.119,51.47,8.214,75.0,3.681
2026-03-22T10:08:38.626815,1200.39,6.53,11.09,-0.09,48.35,7.058,75.0,2.499
2026-03-22T10:08:39.121180,973.93,3.91,5.37,-0.059,44.76,5.925,75.0,1.924
2026-03-22T10:08:39.623330,875.55,2.26,2.6,-0.036,41.18,5.051,75.0,1.666
2026-03-22T10:08:40.127105,832.82,1.27,1.26,-0.021,37.82,4.43,75.0,1.55
2026-03-22T10:08:40.625127,814.26,1.04,7.84,0.011,35.04,4.03,75.0,1.704
2026-03-22T10:08:41.124457,806.19,2.34,25.21,0.056,33.92,3.888,75.0,2.186
2026-03-22T10:08:41.630905,834.95,5.13,47.81,0.093,35.05,4.001,75.0,2.884
2026-03-22T10:08:42.124294,1129.87,8.96,72.03,0.114,38.5,4.533,75.0,4.112
2026-03-22T10:08:42.625140,1559.74,12.76,86.46,0.095,43.55,5.533,75.0,5.306
2026-03-22T10:08:43.128838,1951.07,15.58,93.45,0.065,49.03,6.744,75.0,6.217
2026-03-22T10:08:43.623701,2247.36,17.42,96.83,0.041,54.37,7.931,75.0,6.853
2026-03-22T10:08:44.185872,2450.39,18.54,98.47,0.024,59.34,8.965,75.0,7.269
2026-03-22T10:08:44.623914,2580.95,19.19,99.26,0.014,63.85,9.801,75.0,7.529
2026-03-22T10:08:45.124295,2661.26,19.56,99.64,0.008,67.91,10.448,75.0,7.686
2026-03-22T10:08:45.622900,2619.47,25.69,97.22,0.276,71.48,10.884,75.0,7.54
2026-03-22T10:08:46.123975,2679.72,31.54,92.32,0.113,73.98,11.102,75.0,7.51
2026-03-22T10:08:46.619687,2841.74,34.87,96.28,0.076,76.41,11.436,75.0,7.918
2026-03-22T10:08:47.121467,3006.91,37.01,98.2,0.047,78.83,11.883,75.0,8.273
2026-03-22T10:08:47.627708,3134.94,38.31,99.13,0.028,81.11,12.348,75.0,8.532
2026-03-22T10:08:48.122679,3222.82,39.06,99.58,0.016,83.2,12.765,75.0,8.705
2026-03-22T10:08:48.620949,3279.05,39.49,99.8,0.009,85.08,13.107,75.0,8.813
2026-03-22T10:08:49.126376,3313.39,39.73,99.9,0.005,86.76,13.374,75.0,8.879
2026-03-22T10:08:49.623620,3333.68,39.85,99.95,0.003,88.26,13.577,75.0,8.917
2026-03-22T10:08:50.120096,3345.37,39.92,99.98,0.001,89.59,13.728,75.0,8.939
2026-03-22T10:08:50.626191,3351.97,39.96,99.99,0.001,90.78,13.841,75.0,8.951
2026-03-22T10:08:51.124203,3355.64,39.98,99.99,0.0,91.82,13.927,75.0,8.958
2026-03-22T10:08:51.622799,3357.66,39.99,100.0,0.0,92.75,13.994,75.0,8.962
2026-03-22T10:08:52.127350,3355.68,39.92,98.4,-0.012,93.55,14.043,75.0,8.913
2026-03-22T10:08:52.621006,3241.03,37.63,80.45,-0.114,93.22,13.915,75.0,8.191
2026-03-22T10:08:53.118565,2866.03,31.25,51.13,-0.226,90.38,13.277,75.0,6.672
2026-03-22T10:08:53.623097,2245.43,22.1,24.89,-0.254,84.82,11.96,75.0,4.794
2026-03-22T10:08:54.119816,1595.46,14.09,12.61,-0.189,78.05,10.204,75.0,3.261
2026-03-22T10:08:54.621480,1149.04,9.79,17.59,-0.058,71.75,8.47,75.0,2.592
2026-03-22T10:08:55.124139,989.1,10.33,34.19,0.07,67.42,7.232,75.0,2.775
2026-03-22T10:08:55.621546,1150.1,14.79,56.41,0.163,65.63,6.733,75.0,3.703
2026-03-22T10:08:56.120922,1565.69,21.69,78.11,0.2,66.4,7.046,75.0,5.078
2026-03-22T10:08:56.623232,2057.73,28.17,89.41,0.159,68.69,7.95,75.0,6.296
2026-03-22T10:08:57.121051,2483.8,32.84,94.87,0.107,71.52,9.095,75.0,7.227
2026-03-22T10:08:57.618390,2801.29,35.84,97.52,0.066,74.4,10.224,75.0,7.879
2026-03-22T10:08:58.124865,3017.65,37.65,98.8,0.039,77.14,11.2,75.0,8.309
2026-03-22T10:08:58.623209,3156.54,38.7,99.42,0.022,79.65,11.979,75.0,8.58
2026-03-22T10:08:59.122601,3241.97,39.29,99.72,0.012,81.93,12.569,75.0,8.744
2026-03-22T10:08:59.627639,3292.85,39.62,99.86,0.007,83.96,13.001,75.0,8.84
2026-03-22T10:09:00.121746,3322.41,39.8,99.93,0.004,85.78,13.312,75.0,8.896
2026-03-22T10:09:00.622695,3339.24,39.89,99.97,0.002,87.39,13.535,75.0,8.928
2026-03-22T10:09:01.127174,3348.66,39.94,99.98,0.001,88.82,13.697,75.0,8.945
2026-03-22T10:09:01.622217,3353.87,39.97,99.99,0.001,90.09,13.815,75.0,8.955
2026-03-22T10:09:02.123766,3356.71,39.98,100.0,0.0,91.22,13.904,75.0,8.96
2026-03-22T10:09:02.627206,3358.25,39.99,100.0,0.0,92.22,13.972,75.0,8.963
2026-03-22T10:09:03.122813,3359.07,40.0,100.0,0.0,93.1,14.027,75.0,8.965
2026-03-22T10:09:03.622485,3358.27,39.97,99.18,-0.006,93.87,14.07,75.0,8.94
2026-03-22T10:09:04.126948,3263.37,38.04,82.9,-0.102,93.7,13.969,75.0,8.302
2026-03-22T10:09:04.622615,2694.74,38.31,54.38,-0.119,91.1,13.209,75.0,6.453
2026-03-22T10:09:05.124691,2119.74,30.33,31.46,-0.239,85.88,11.79,75.0,4.753
2026-03-22T10:09:05.626152,1674.79,24.42,33.81,-0.087,80.45,10.255,75.0,4.011
2026-03-22T10:09:06.120444,1520.82,24.97,49.13,0.094,76.71,9.116,75.0,4.169
2026-03-22T10:09:06.621956,1678.53,31.26,70.62,0.232,75.35,8.674,75.0,5.07
2026-03-22T10:09:07.124326,2047.37,40.12,85.78,0.237,76.11,8.957,75.0,6.173
2026-03-22T10:09:07.622177,2441.61,47.49,93.12,0.175,77.83,9.693,75.0,7.1
2026-03-22T10:09:08.121655,2766.72,52.55,96.67,0.114,79.87,10.591,75.0,7.792
2026-03-22T10:09:08.627345,3002.06,55.72,98.39,0.069,81.93,11.454,75.0,8.269
2026-03-22T10:09:09.122299,3159.35,57.6,99.22,0.04,83.87,12.186,75.0,8.579
2026-03-22T10:09:09.621566,3258.92,58.68,99.62,0.023,85.65,12.762,75.0,8.772
2026-03-22T10:09:10.124157,3319.52,59.28,99.82,0.013,87.26,13.193,75.0,8.887
2026-03-22T10:09:10.621759,3355.33,59.62,99.91,0.007,88.69,13.505,75.0,8.955
2026-03-22T10:09:11.123475,3375.99,59.8,99.96,0.004,89.97,13.729,75.0,8.994
2026-03-22T10:09:11.624533,3387.69,59.89,99.98,0.002,91.11,13.888,75.0,9.016
2026-03-22T10:09:12.124219,3394.21,59.94,99.99,0.001,92.12,14.003,75.0,9.028
2026-03-22T10:09:12.620367,3363.58,58.86,91.4,-0.084,92.7,14.04,75.0,8.727
2026-03-22T10:09:13.127029,2823.68,59.72,66.75,-0.132,91.33,13.481,75.0,7.041
2026-03-22T10:09:13.621999,2317.84,50.93,48.68,-0.251,87.62,12.286,75.0,5.605
2026-03-22T10:09:14.120445,1981.91,45.53,53.88,-0.051,83.94,11.052,75.0,5.143
